seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,5e-05,0.8228604923798358,"[0.8077782744747429, 0.8394970414201184]","[0.8473622508792497, 0.798358733880422]","[0.8270969218446046, 0.8184112486479991]",1339.390625,2528.85986328125,211.06290391199946,0.8367729831144465,"[0.7881219903691814, 0.9051918735891648]","[0.9212007504690432, 0.7523452157598499]","[0.8494809688581315, 0.8217213114754098]",0.8339587242026266,"[0.778125, 0.9178403755868545]","[0.9343339587242027, 0.7335834896810507]","[0.8491048593350383, 0.8154327424400417]",1260.21484375,1705.130859375,4.953183825000451
3,16,5e-05,0.8316529894490036,"[0.8105378704720088, 0.8558490566037736]","[0.8656506447831184, 0.7976553341148886]","[0.83718820861678, 0.8257281553398058]",1350.19140625,2536.35986328125,211.33510674900026,0.850844277673546,"[0.8213058419243986, 0.8863636363636364]","[0.8968105065666041, 0.8048780487804879]","[0.8573991031390135, 0.8436578171091446]",0.8414634146341463,"[0.7983606557377049, 0.8991228070175439]","[0.9136960600375235, 0.7692307692307693]","[0.8521434820647419, 0.8291203235591507]",1286.81640625,1707.505859375,5.017968420001125
5,16,5e-05,0.8344665885111372,"[0.8292176321255481, 0.8398856325947105]","[0.8424384525205159, 0.8264947245017585]","[0.835775761805071, 0.8331363743795793]",1386.55859375,2531.85986328125,211.83177362100105,0.8545966228893058,"[0.8526119402985075, 0.8566037735849057]","[0.8574108818011257, 0.851782363977486]","[0.8550046772684752, 0.8541862652869238]",0.8583489681050657,"[0.8472727272727273, 0.8701550387596899]","[0.874296435272045, 0.8424015009380863]","[0.8605724838411819, 0.8560533841754051]",1322.3046875,1703.130859375,4.911913941999956
2,16,3e-05,0.8291910902696366,"[0.8157894736842105, 0.8437806072477962]","[0.8504103165298945, 0.8079718640093787]","[0.8327402135231317, 0.8254880824050784]",1411.83203125,2533.10986328125,211.19691237799998,0.8480300187617261,"[0.7987117552334944, 0.9168539325842696]","[0.9305816135084428, 0.7654784240150094]","[0.8596187175043327, 0.8343558282208589]",0.8339587242026266,"[0.7807570977917981, 0.9120370370370371]","[0.9287054409005628, 0.7392120075046904]","[0.8483290488431876, 0.816580310880829]",1322.4140625,1705.255859375,5.095803242002148
3,16,3e-05,0.9316529894490035,"[0.9257631822386679, 0.9377080361388492]","[0.938569753810082, 0.924736225087925]","[0.9321224822447316, 0.9311769566757172]",1411.87109375,2532.35986328125,211.7874870500018,0.8649155722326454,"[0.8662900188323918, 0.8635514018691589]","[0.8630393996247655, 0.8667917448405253]","[0.8646616541353384, 0.8651685393258427]",0.8461538461538461,"[0.8242530755711776, 0.8712273641851107]","[0.8799249530956847, 0.8123827392120075]","[0.8511796733212341, 0.8407766990291262]",1322.47265625,1704.255859375,4.876590669999132
5,16,3e-05,0.8316529894490036,"[0.8322762508809021, 0.8310320617832905]","[0.830715123094959, 0.832590855803048]","[0.8314949542360948, 0.8318107285078473]",1411.92578125,2535.35986328125,211.4274526079971,0.8621013133208255,"[0.8560885608856088, 0.8683206106870229]","[0.8705440900562852, 0.8536585365853658]","[0.8632558139534884, 0.8609271523178808]",0.8649155722326454,"[0.840630472854641, 0.8929292929292929]","[0.900562851782364, 0.8292682926829268]","[0.8695652173913043, 0.8599221789883269]",1322.50390625,1704.130859375,4.713231440000527
2,16,2e-05,0.8240328253223915,"[0.8126696832579186, 0.8362530413625304]","[0.8422039859320047, 0.8058616647127784]","[0.8271732872769142, 0.8207761194029851]",1411.9453125,2529.10986328125,192.24909010900228,0.8611632270168855,"[0.8584729981378026, 0.8638941398865785]","[0.8649155722326454, 0.8574108818011257]","[0.8616822429906542, 0.8606403013182674]",0.849906191369606,"[0.8372513562386981, 0.8635477582846004]","[0.8686679174484052, 0.8311444652908068]","[0.852670349907919, 0.847036328871893]",1322.5234375,1702.005859375,4.9809429139968415
3,16,2e-05,0.926611957796014,"[0.916456855115587, 0.9372746935832732]","[0.9388042203985932, 0.9144196951934349]","[0.9274959462589761, 0.9257061476382625]",1411.94921875,2534.10986328125,193.21079305500098,0.875234521575985,"[0.852112676056338, 0.9016064257028112]","[0.9080675422138836, 0.8424015009380863]","[0.8792007266121707, 0.8709990300678953]",0.849906191369606,"[0.8166383701188455, 0.8909853249475891]","[0.9024390243902439, 0.797373358348968]","[0.857397504456328, 0.8415841584158416]",1322.52734375,1704.755859375,5.151552242001344
5,16,2e-05,0.8316529894490036,"[0.8336871903750884, 0.8296434397576322]","[0.8286049237983587, 0.8347010550996483]","[0.8311382878645344, 0.8321645628798504]",1411.9296875,2530.85986328125,196.16185655200024,0.8583489681050657,"[0.8511029411764706, 0.8659003831417624]","[0.8686679174484052, 0.8480300187617261]","[0.8597957288765088, 0.8568720379146919]",0.8667917448405253,"[0.8484848484848485, 0.8871287128712871]","[0.8930581613508443, 0.8405253283302064]","[0.870201096892139, 0.8631984585741811]",1322.52734375,1704.755859375,5.074899904000631
2,32,5e-05,0.82989449003517,"[0.8151881720430108, 0.8460403344810624]","[0.8532239155920281, 0.8065650644783119]","[0.8337724825294993, 0.8258312327451687]",1454.46875,3770.51611328125,171.36799244199938,0.8386491557223265,"[0.8881720430107527, 0.800332778702163]","[0.774859287054409, 0.9024390243902439]","[0.8276553106212425, 0.8483245149911817]",0.8198874296435272,"[0.8544698544698545, 0.7914529914529914]","[0.7711069418386491, 0.8686679174484052]","[0.8106508875739645, 0.8282647584973166]",1366.5234375,1715.037109375,5.009706589000416
