seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,5e-05,0.6942233914282583,"[0.620706106870229, 0.6764942734430923, 0.7448011782032401]","[0.5502608205272804, 0.7314371402312194, 0.7083309989355145]","[0.5833644720125551, 0.7028936664729808, 0.726108430967149]",1423.85546875,2528.88330078125,1002.632316149,0.72,"[0.5883838383838383, 0.7580174927113703, 0.7483660130718954]","[0.7467948717948718, 0.5983889528193326, 0.8388278388278388]","[0.6581920903954802, 0.6688102893890675, 0.7910189982728842]",0.6729078476066428,"[0.6612253550985796, 0.7423871971549233, 0.5889830508474576]","[0.7852467270896274, 0.562573690416035, 0.7608421052631579]","[0.7179192081942686, 0.6400919892679188, 0.6639720742237737]",1428.5,1713.404296875,54.23805289300071
3,16,5e-05,0.6923380466951661,"[0.6200671033711456, 0.6738715547467933, 0.7439524517087667]","[0.5471591710136755, 0.7344362211580322, 0.7012717799316488]","[0.5813361294188136, 0.7028515878159429, 0.7219818884466748]",1520.140625,2536.25830078125,995.8311489980006,0.7175,"[0.6806083650190115, 0.7097170971709718, 0.7348484848484849]","[0.5737179487179487, 0.663981588032221, 0.8290598290598291]","[0.6226086956521739, 0.6860879904875149, 0.7791164658634538]",0.6779550634972322,"[0.7081820720469143, 0.6855177043128041, 0.6220845481049563]","[0.6384692849949648, 0.6880579417214081, 0.7187368421052631]","[0.6715212498345029, 0.6867854741089442, 0.6669271342058996]",1438.265625,1708.279296875,56.28429052900174
5,16,5e-05,0.6961964266140523,"[0.6159087307875138, 0.6784089895656827, 0.7498518781846191]","[0.5480050754264768, 0.7359357616214386, 0.7090593310549611]","[0.5799761265293942, 0.7060024594538157, 0.7288853053819795]",1527.63671875,2533.88330078125,995.6702259900012,0.728,"[0.6279761904761905, 0.7486486486486487, 0.7478354978354979]","[0.6762820512820513, 0.6375143843498274, 0.8437118437118437]","[0.6512345679012346, 0.6886264760720945, 0.7928858290304074]",0.681943992184956,"[0.70727969348659, 0.7210845657944635, 0.5831987075928917]","[0.697129909365559, 0.640559204985683, 0.76]","[0.702168124762267, 0.6784408170546784, 0.659963436928702]",1438.96875,1709.904296875,55.31421946299815
2,16,3e-05,0.7994738572837883,"[0.7646721193858517, 0.7827756185420419, 0.8333713243674493]","[0.7513041026364021, 0.7988680888114933, 0.8193176088296263]","[0.7579291708149624, 0.7907399870723708, 0.8262847133937904]",1528.3984375,2537.13330078125,996.606377139,0.7405,"[0.6818181818181818, 0.7170454545454545, 0.7827102803738317]","[0.5769230769230769, 0.7261219792865362, 0.818070818070818]","[0.625, 0.7215551743853631, 0.8]",0.6833279062194725,"[0.7398739873987399, 0.6832005204098227, 0.6163454675231977]","[0.620845921450151, 0.707596429172983, 0.7271578947368421]","[0.6751540041067762, 0.695184511004468, 0.6671817655012555]",1438.9765625,1705.404296875,54.280852271000185
3,16,3e-05,0.6999451934670613,"[0.6314948041566747, 0.678396397191929, 0.754772305666926]","[0.556887071760891, 0.743239974846418, 0.7066502325060228]","[0.591848966137249, 0.7093393656802548, 0.7299189814814815]",1528.36328125,2537.50830078125,996.0855864840014,0.733,"[0.6808510638297872, 0.7024070021881839, 0.7802585193889542]","[0.5128205128205128, 0.7387802071346375, 0.8107448107448108]","[0.5850091407678245, 0.7201346045989905, 0.7952095808383234]",0.6891891891891891,"[0.7493646759847522, 0.6742690953620083, 0.653860929696504]","[0.5939073514602216, 0.7419572174498905, 0.7166315789473684]","[0.6626404494382022, 0.706495589414595, 0.6838087585375653]",1439.03515625,1711.279296875,53.74401532800039
5,16,3e-05,0.702926668858928,"[0.6277190801740211, 0.6820190119159192, 0.7597185785833532]","[0.5695756379529113, 0.73922507618633, 0.7138775281528377]","[0.5972355680390272, 0.7094707520891365, 0.7360850350943069]",1528.44921875,2533.25830078125,995.6776507350005,0.7295,"[0.5927835051546392, 0.760778859527121, 0.7637178051511758]","[0.7371794871794872, 0.6294591484464902, 0.8327228327228328]","[0.6571428571428571, 0.6889168765743073, 0.7967289719626168]",0.693829371540215,"[0.6858846918489065, 0.7469904101203836, 0.6151960784313726]","[0.7817220543806647, 0.616641401381169, 0.7397894736842106]","[0.7306741969643488, 0.6755859014578336, 0.6717644809787804]",1439.078125,1709.029296875,57.87577077300011
2,16,2e-05,0.7968212210895539,"[0.7616862632635504, 0.7792170953101362, 0.8321230487735147]","[0.7489073734667983, 0.7972718038020606, 0.8153397949464956]","[0.7552427667590815, 0.7881410639569635, 0.8236459335559454]",1528.7265625,2532.63330078125,996.4017674829993,0.7585,"[0.6808510638297872, 0.7324414715719063, 0.8136419001218027]","[0.6153846153846154, 0.7560414269275029, 0.8156288156288156]","[0.6464646464646465, 0.7440543601359003, 0.8146341463414634]",0.6948876587430804,"[0.7537643932683791, 0.6899774411859491, 0.6321070234113713]","[0.6427492447129909, 0.7212396833417551, 0.7162105263157895]","[0.6938442723196087, 0.7052622910318702, 0.6715357283853138]",1440.05859375,1709.029296875,56.34400814499895
3,16,2e-05,0.7033651211224378,"[0.6376153966515412, 0.6800035290484803, 0.7607369374811235]","[0.5745100803609192, 0.7456585884970734, 0.7055857471006779]","[0.6044200533966182, 0.7113192746066171, 0.7321241716079525]",1529.48046875,2538.25830078125,996.4084096719998,0.735,"[0.6720647773279352, 0.7034178610804851, 0.7872340425531915]","[0.532051282051282, 0.7341772151898734, 0.8131868131868132]","[0.59391771019678, 0.7184684684684685, 0.8]",0.6899218495604038,"[0.7542317708333334, 0.675924505140402, 0.6504638218923933]","[0.5833333333333334, 0.7419572174498905, 0.7381052631578947]","[0.6578648495173197, 0.7074032439376907, 0.6915187376725839]",1440.05859375,1713.904296875,53.41516229999979
5,16,2e-05,0.706280828674778,"[0.6392206159648021, 0.6837928894405533, 0.7622356676451207]","[0.5735231918793177, 0.7461423112272045, 0.7128690682951426]","[0.6045924054395482, 0.7136082903472045, 0.7367263042093684]",1529.48046875,2533.00830078125,995.6702199389983,0.7335,"[0.5873417721518988, 0.7519893899204244, 0.7849588719153937]","[0.7435897435897436, 0.6524741081703107, 0.8156288156288156]","[0.6562942008486563, 0.6987060998151571, 0.8]",0.6994464343861935,"[0.6761351409511512, 0.7455597685092796, 0.6527037319116527]","[0.7910372608257804, 0.629274044130032, 0.7216842105263158]","[0.7290869010326024, 0.6824990865911582, 0.6854629074185163]",1440.05859375,1708.904296875,56.18876648500009
2,32,5e-05,0.6992655924586211,"[0.6315958299919807, 0.677803345428799, 0.7533071147658206]","[0.5551952629352883, 0.7409181057417888, 0.7082749733878648]","[0.59093637454982, 0.7079568302096092, 0.7300973116571857]",1536.515625,3774.41455078125,841.5572920390041,0.7205,"[0.5735294117647058, 0.7901430842607313, 0.7372793354101765]","[0.75, 0.571921749136939, 0.8669108669108669]","[0.65, 0.6635514018691588, 0.7968574635241302]",0.6754314555519375,"[0.6532307069070286, 0.7603654251581167, 0.5932423651721898]","[0.8119335347432024, 0.5467407781707934, 0.7688421052631579]","[0.7239869794589741, 0.6360964138741917, 0.6697230882083257]",1477.203125,1716.810546875,54.11771975400188
