batch_size,learning_rate,seed,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
16,5e-05,2,0.8195204586916862,"[0.9649048625792812, 0.8844393592677345, 0.9615573368231638, 0.877164056059357, 0.9186440677966101]","[0.9568134171907757, 0.8879954049396899, 0.9647136057771213, 0.8, 0.8041543026706232]","[0.9608421052631579, 0.886213814846661, 0.9631328854661642, 0.8368069209594966, 0.8575949367088608]",1357.2890625,2528.90673828125,178.80304817599972,0.7699579831932774,"[0.9438943894389439, 0.8514851485148515, 0.9430379746835443, 0.8013698630136986, 0.9041095890410958]","[0.959731543624161, 0.7962962962962963, 0.9776902887139107, 0.740506329113924, 0.7951807228915663]","[0.9517470881863561, 0.8229665071770335, 0.9600515463917526, 0.7697368421052632, 0.8461538461538461]",0.7556935817805382,"[0.9276315789473685, 0.8477157360406091, 0.9433719433719434, 0.7650602409638554, 0.8717948717948718]","[0.9463087248322147, 0.7625570776255708, 0.9632063074901446, 0.774390243902439, 0.8095238095238095]","[0.9368770764119602, 0.8028846153846154, 0.953185955786736, 0.7696969696969697, 0.8395061728395061]",1326.02734375,1704.552734375,4.249598326998239
16,5e-05,3,0.7826426896012509,"[0.9586323343182778, 0.8537874339401057, 0.9453074433656958, 0.8541329011345219, 0.8990825688073395]","[0.9522012578616352, 0.8351522113727743, 0.958805186279337, 0.7924812030075188, 0.7270029673590505]","[0.9554059739167017, 0.8443670150987224, 0.9520084738857655, 0.8221528861154446, 0.8039376538146021]",1441.68359375,2538.53173828125,178.64084293300402,0.7836134453781513,"[0.9536423841059603, 0.8105726872246696, 0.96271637816245, 0.8493150684931506, 0.8275862068965517]","[0.9664429530201343, 0.8518518518518519, 0.9488188976377953, 0.7848101265822784, 0.8674698795180723]","[0.96, 0.8306997742663657, 0.9557171183079973, 0.8157894736842105, 0.8470588235294118]",0.7505175983436853,"[0.9210526315789473, 0.801762114537445, 0.9554655870445344, 0.7951807228915663, 0.7934782608695652]","[0.9395973154362416, 0.8310502283105022, 0.9303547963206308, 0.8048780487804879, 0.8690476190476191]","[0.9302325581395349, 0.8161434977578476, 0.9427430093209055, 0.8, 0.8295454545454546]",1362.171875,1706.677734375,4.270783257998119
16,5e-05,5,0.7741725306228825,"[0.9528462192013594, 0.8342989571263036, 0.94810476655279, 0.8480066445182725, 0.8859180035650623]","[0.9404612159329141, 0.8271108558299828, 0.9565074675857541, 0.7676691729323308, 0.7373887240356083]","[0.9466132095378772, 0.8306893567926161, 0.9522875816993464, 0.8058405682715075, 0.8048582995951417]",1456.53125,2544.65673828125,178.62705189600092,0.7752100840336135,"[0.9595959595959596, 0.8157894736842105, 0.9574468085106383, 0.864, 0.9508196721311475]","[0.9563758389261745, 0.8611111111111112, 0.9448818897637795, 0.6835443037974683, 0.6987951807228916]","[0.957983193277311, 0.8378378378378378, 0.9511228533685601, 0.7632508833922261, 0.8055555555555556]",0.7701863354037267,"[0.9250814332247557, 0.8070175438596491, 0.9518072289156626, 0.8571428571428571, 0.9047619047619048]","[0.9530201342281879, 0.8401826484018264, 0.9342969776609724, 0.7317073170731707, 0.6785714285714286]","[0.9388429752066115, 0.8232662192393736, 0.9429708222811671, 0.7894736842105263, 0.7755102040816326]",1369.16015625,1708.052734375,4.478887609999219
16,3e-05,2,0.8270784467031536,"[0.9646315789473684, 0.8792102206736353, 0.9618969746524939, 0.8857368006304176, 0.9248747913188647]","[0.9605870020964361, 0.8696151636990236, 0.9653700968324307, 0.8451127819548873, 0.8219584569732937]","[0.9626050420168067, 0.8743863701992493, 0.9636304062909568, 0.8649480569449788, 0.8703849175176748]",1458.6328125,2542.65673828125,178.9841602059969,0.773109243697479,"[0.9438943894389439, 0.8144796380090498, 0.9368686868686869, 0.8040540540540541, 0.8433734939759037]","[0.959731543624161, 0.8333333333333334, 0.973753280839895, 0.7531645569620253, 0.8433734939759037]","[0.9517470881863561, 0.8237986270022883, 0.954954954954955, 0.7777777777777778, 0.8433734939759037]",0.7732919254658385,"[0.9335548172757475, 0.8254716981132075, 0.9447300771208226, 0.8208092485549133, 0.8255813953488372]","[0.9429530201342282, 0.7990867579908676, 0.9658344283837057, 0.8658536585365854, 0.8452380952380952]","[0.9382303839732888, 0.8120649651972158, 0.9551656920077972, 0.8427299703264095, 0.8352941176470589]",1369.2578125,1708.927734375,4.576658551006403
16,3e-05,3,0.7878550951264008,"[0.9583510412239694, 0.8618654073199528, 0.9442919425157436, 0.8646864686468647, 0.903954802259887]","[0.9454926624737946, 0.8385985066053991, 0.959789922862301, 0.7879699248120301, 0.712166172106825]","[0.9518784297171803, 0.8500727802037845, 0.9519778609799772, 0.8245476003147129, 0.7966804979253111]",1458.71484375,2542.15673828125,178.63175007999962,0.7636554621848739,"[0.9471947194719472, 0.7777777777777778, 0.9445876288659794, 0.8273381294964028, 0.8372093023255814]","[0.9630872483221476, 0.8425925925925926, 0.9619422572178478, 0.7278481012658228, 0.8674698795180723]","[0.9550748752079867, 0.8088888888888889, 0.953185955786736, 0.7744107744107744, 0.8520710059171598]",0.7660455486542443,"[0.9273927392739274, 0.7991452991452992, 0.9441558441558442, 0.8113207547169812, 0.8131868131868132]","[0.9429530201342282, 0.8538812785388128, 0.9553219448094612, 0.7865853658536586, 0.8809523809523809]","[0.9351081530782029, 0.82560706401766, 0.9497060744611365, 0.7987616099071208, 0.8457142857142858]",1369.39453125,1711.552734375,4.487079018996155
16,3e-05,5,0.8107896794370602,"[0.965634280865507, 0.8790137614678899, 0.9567992145311733, 0.8761061946902655, 0.8986710963455149]","[0.9542976939203355, 0.8805284319356692, 0.9596258000984736, 0.818796992481203, 0.8026706231454006]","[0.9599325179249262, 0.8797704447632712, 0.9582104228121927, 0.8464827050136028, 0.8479623824451411]",1458.80859375,2540.15673828125,178.93137770199974,0.7752100840336135,"[0.9348534201954397, 0.8133333333333334, 0.9470967741935484, 0.8615384615384616, 0.8918918918918919]","[0.9630872483221476, 0.8472222222222222, 0.963254593175853, 0.7088607594936709, 0.7951807228915663]","[0.9487603305785124, 0.8299319727891157, 0.9551073519843851, 0.7777777777777778, 0.8407643312101911]",0.7877846790890269,"[0.9196141479099679, 0.8377192982456141, 0.9458064516129032, 0.8636363636363636, 0.8395061728395061]","[0.959731543624161, 0.8721461187214612, 0.9632063074901446, 0.8109756097560976, 0.8095238095238095]","[0.9392446633825944, 0.854586129753915, 0.9544270833333334, 0.8364779874213837, 0.8242424242424242]",1369.4609375,1708.552734375,4.73428082200553
16,2e-05,2,0.8234297628355486,"[0.9686041578277471, 0.883653286794648, 0.9596787411899689, 0.9006410256410257, 0.9243986254295533]","[0.9572327044025157, 0.8724870763928777, 0.9609387822090923, 0.8451127819548873, 0.798219584569733]","[0.9628848587094053, 0.8780346820809248, 0.9603083483680499, 0.8719937936384794, 0.856687898089172]",1458.91796875,2536.65673828125,179.3671473909999,0.7836134453781513,"[0.9693877551020408, 0.8601036269430051, 0.9425287356321839, 0.8493150684931506, 0.8641975308641975]","[0.9563758389261745, 0.7685185185185185, 0.968503937007874, 0.7848101265822784, 0.8433734939759037]","[0.9628378378378378, 0.8117359413202934, 0.9553398058252427, 0.8157894736842105, 0.8536585365853658]",0.7795031055900621,"[0.9525423728813559, 0.8736263736263736, 0.9388535031847134, 0.8280254777070064, 0.8255813953488372]","[0.9429530201342282, 0.726027397260274, 0.9684625492772667, 0.7926829268292683, 0.8452380952380952]","[0.9477234401349073, 0.7930174563591023, 0.9534282018111255, 0.8099688473520249, 0.8352941176470589]",1369.49609375,1705.302734375,4.679681084002368
16,2e-05,3,0.7808183476674485,"[0.9550847457627119, 0.8602594339622641, 0.9426772162118521, 0.8840579710144928, 0.8932806324110671]","[0.9450733752620545, 0.8380241240666284, 0.9581486952240276, 0.7796992481203008, 0.6706231454005934]","[0.9500526870389884, 0.8489962176316556, 0.9503499918606544, 0.8286056731921694, 0.7661016949152543]",1458.94921875,2540.40673828125,178.61560873500275,0.7699579831932774,"[0.9496644295302014, 0.8097345132743363, 0.935687263556116, 0.8169934640522876, 0.7634408602150538]","[0.9496644295302014, 0.8472222222222222, 0.973753280839895, 0.7911392405063291, 0.8554216867469879]","[0.9496644295302014, 0.8280542986425339, 0.9543408360128617, 0.8038585209003215, 0.8068181818181818]",0.7619047619047619,"[0.9366666666666666, 0.8122270742358079, 0.9384615384615385, 0.8198757763975155, 0.7474747474747475]","[0.9429530201342282, 0.8493150684931506, 0.961892247043364, 0.8048780487804879, 0.8809523809523809]","[0.939799331103679, 0.8303571428571429, 0.9500324464633355, 0.8123076923076923, 0.8087431693989071]",1369.52734375,1703.552734375,4.754302070999984
16,2e-05,5,0.8153505342715663,"[0.9659377628259042, 0.8825581395348837, 0.9563297350343474, 0.8788121990369181, 0.8994974874371859]","[0.9631027253668764, 0.8719126938541069, 0.9596258000984736, 0.8233082706766918, 0.7967359050445104]","[0.9645181608230107, 0.8772031204854088, 0.957974932415827, 0.8501552795031055, 0.8450039339103068]",1458.984375,2538.65673828125,179.32043135500135,0.7804621848739496,"[0.9595959595959596, 0.8310502283105022, 0.94921875, 0.889763779527559, 0.8518518518518519]","[0.9563758389261745, 0.8425925925925926, 0.9566929133858267, 0.7151898734177216, 0.8313253012048193]","[0.957983193277311, 0.8367816091954023, 0.9529411764705882, 0.7929824561403509, 0.8414634146341463]",0.7939958592132506,"[0.9527027027027027, 0.8653846153846154, 0.9468223086900129, 0.832258064516129, 0.8795180722891566]","[0.9463087248322147, 0.821917808219178, 0.9592641261498029, 0.7865853658536586, 0.8690476190476191]","[0.9494949494949495, 0.8430913348946136, 0.9530026109660574, 0.8087774294670846, 0.874251497005988]",1369.5625,1705.427734375,4.39128650699422
32,5e-05,2,0.7817305186343497,"[0.9494736842105264, 0.8620283018867925, 0.9482842738656693, 0.8592964824120602, 0.8919925512104283]","[0.9454926624737946, 0.8397472716829408, 0.9569998358772361, 0.7714285714285715, 0.7106824925816023]","[0.9474789915966386, 0.8507419260983415, 0.9526221205685346, 0.8129952456418383, 0.7910817506193228]",1499.44921875,3774.68896484375,151.31667795400426,0.7794117647058824,"[0.9691780821917808, 0.8536585365853658, 0.9326683291770573, 0.9217391304347826, 0.9142857142857143]","[0.9496644295302014, 0.8101851851851852, 0.9816272965879265, 0.6708860759493671, 0.7710843373493976]","[0.9593220338983051, 0.831353919239905, 0.9565217391304348, 0.7765567765567766, 0.8366013071895425]",0.7919254658385093,"[0.95578231292517, 0.8844221105527639, 0.9267990074441688, 0.86, 0.8717948717948718]","[0.9429530201342282, 0.8036529680365296, 0.9816031537450722, 0.7865853658536586, 0.8095238095238095]","[0.9493243243243243, 0.8421052631578947, 0.9534141671984684, 0.821656050955414, 0.8395061728395061]",1410.02734375,1711.33447265625,4.276916327995423
